"filename", "language", "JSON", "JavaScript", "Ini", "Properties", "MS SQL", "Shell Script", "Markdown", "PHP", "Ignore", "Docker", "TypeScript", "Skill", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\resources\lang\ar\filament\admin\resources\tag.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\resources\lang\ar\filament\customer\resources\article.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\resources\lang\en\filament\admin\resources\article.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 7, 91
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\resources\lang\en\filament\admin\resources\category.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\resources\lang\en\filament\admin\resources\tag.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\resources\lang\en\filament\customer\resources\article.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\ArticlePlugin.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 8, 65
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\ArticleServiceProvider.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\ArticleResource.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 17, 321
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\ArticleResource\Pages\CreateArticle.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\ArticleResource\Pages\EditArticle.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\ArticleResource\Pages\ListArticles.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\ArticleResource\Pages\ViewArticle.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\CategoryResource.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 12, 134
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\CategoryResource\Pages\CreateCategory.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\CategoryResource\Pages\EditCategory.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\CategoryResource\Pages\ListCategories.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\TagResource.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 12, 119
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\TagResource\Pages\CreateTag.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\TagResource\Pages\EditTag.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Admin\Resources\TagResource\Pages\ListTags.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Customer\Resources\ArticleResource.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 17, 162
"d:\Project\UnderImprove\Web\aureuserp\plugins\webkul\articles\src\Filament\Customer\Resources\ArticleResource\Pages\ListArticles.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
